Model,Group,Type,MAPE
SOC40,NCMNCACY25-05_2,Current,1.740801557
SOC40,NCMNCACY25-05_4,Current,0.759578343
SOC40,NCMNCACY25-05_4,Current,1.31021194
SOC40,NCMNCACY25-05_4,Current,0.9938348
SOC40,NCMNCACY25-05_4,Current,1.069011428
SOC40,NCMNCACY25-05_4,Current,1.199973332
SOC40,NCMNCACY25-05_4,Current,0.839061645
SOC40,NCMNCACY25-05_4,Current,1.156495846
SOC40,NCMNCACY25-05_4,Current,1.375250621
SOC40,NCMNCACY25-05_4,Current,1.062394333
SOC40,NCMNCACY25-05_4,Current,1.235247709
SOC50,NCACY45-05_1,Current,1.356985664
SOC50,NCACY45-05_1,Current,1.230897804
SOC50,NCACY45-05_1,Current,0.794298885
SOC50,NCACY45-05_1,Current,0.80347173
SOC50,NCACY45-05_1,Current,0.898631629
SOC50,NCACY45-05_1,Current,0.93982245
SOC50,NCACY45-05_1,Current,0.904377002
SOC50,NCACY45-05_1,Current,1.087838763
SOC50,NCACY45-05_1,Current,0.853639591
SOC50,NCACY45-05_1,Current,1.506693326
SOC50,NCACY35-05_1,Current,1.856398838
SOC50,NCACY35-05_1,Current,1.765025599
SOC50,NCACY35-05_1,Current,1.753737205
SOC50,NCACY35-05_1,Current,1.354701653
SOC50,NCACY35-05_1,Current,1.915884997
SOC50,NCACY35-05_1,Current,2.129014235
SOC50,NCACY35-05_1,Current,1.559492845
SOC50,NCACY35-05_1,Current,2.194192798
SOC50,NCACY35-05_1,Current,1.732447348
SOC50,NCACY35-05_1,Current,1.73730088
SOC50,NCACY25-025_1,Current,3.405257633
SOC50,NCACY25-025_1,Current,2.991874123
SOC50,NCACY25-025_1,Current,2.76026096
SOC50,NCACY25-025_1,Current,3.757245955
SOC50,NCACY25-025_1,Current,3.137359855
SOC50,NCACY25-025_1,Current,3.797469063
SOC50,NCACY25-025_1,Current,2.953690784
SOC50,NCACY25-025_1,Current,2.885861235
SOC50,NCACY25-025_1,Current,3.042551453
SOC50,NCACY25-025_1,Current,2.839964844
SOC50,NCACY25-05_1,Current,2.165402356
SOC50,NCACY25-05_1,Current,1.995397021
SOC50,NCACY25-05_1,Current,1.835586693
SOC50,NCACY25-05_1,Current,1.589887672
SOC50,NCACY25-05_1,Current,1.76812831
SOC50,NCACY25-05_1,Current,1.710702435
SOC50,NCACY25-05_1,Current,2.269160618
SOC50,NCACY25-05_1,Current,1.71090831
SOC50,NCACY25-05_1,Current,2.074006043
SOC50,NCACY25-05_1,Current,2.007403466
SOC50,NCACY25-1_1,Current,1.035983436
SOC50,NCACY25-1_1,Current,1.011022277
SOC50,NCACY25-1_1,Current,3.096192364
SOC50,NCACY25-1_1,Current,2.166741338
SOC50,NCACY25-1_1,Current,2.652644552
SOC50,NCACY25-1_1,Current,2.555400862
SOC50,NCACY25-1_1,Current,2.893242351
SOC50,NCACY25-1_1,Current,2.546651686
SOC50,NCACY25-1_1,Current,2.008000807
SOC50,NCACY25-1_1,Current,1.802146799
SOC50,NCMCY45-05_1,Current,0.743310511
SOC50,NCMCY45-05_1,Current,0.765175805
SOC50,NCMCY45-05_1,Current,0.883058764
SOC50,NCMCY45-05_1,Current,0.846194556
SOC50,NCMCY45-05_1,Current,1.132573771
SOC50,NCMCY45-05_1,Current,0.725255149
SOC50,NCMCY45-05_1,Current,0.744091018
SOC50,NCMCY45-05_1,Current,0.957788845
SOC50,NCMCY45-05_1,Current,1.322326098
SOC50,NCMCY45-05_1,Current,0.556520255
SOC50,NCMCY35-05_1,Current,0.608579497
SOC50,NCMCY35-05_1,Current,0.727223394
SOC50,NCMCY35-05_1,Current,0.398794013
SOC50,NCMCY35-05_1,Current,0.479349902
SOC50,NCMCY35-05_1,Current,0.606063536
SOC50,NCMCY35-05_1,Current,1.365718031
SOC50,NCMCY35-05_1,Current,0.350516611
SOC50,NCMCY35-05_1,Current,0.558422652
SOC50,NCMCY35-05_1,Current,0.533966594
SOC50,NCMCY35-05_1,Current,0.575440689
SOC50,NCMCY25-05_1,Current,0.998777826
SOC50,NCMCY25-05_1,Current,1.156104349
SOC50,NCMCY25-05_1,Current,0.814268744
SOC50,NCMCY25-05_1,Current,0.616911053
SOC50,NCMCY25-05_1,Current,0.936640802
SOC50,NCMCY25-05_1,Current,0.611030424
